leeftijd,huishoudgrootte,woningtype,opleidingsniveau,arbeidsmarktpositie,achtergrond
25-44,1,rijtjeshuis,midden,werkend,westers
65+,2,rijtjeshuis,laag,werkend,westers
0-14,1,rijtjeshuis,hoog,werkend,westers
45-64,3+,vrijstaand,midden,werkend,westers
25-44,1,vrijstaand,laag,werkend,niet-westers
65+,1,appartement,midden,werkend,westers
65+,1,appartement,laag,werkloos,westers
25-44,1,vrijstaand,midden,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,laag,werkend,westers
45-64,2,appartement,midden,arbeidsongeschikt,westers
25-44,2,appartement,laag,werkend,westers
25-44,2,rijtjeshuis,laag,arbeidsongeschikt,westers
65+,1,rijtjeshuis,laag,werkend,westers
65+,1,rijtjeshuis,laag,werkend,niet-westers
45-64,2,appartement,laag,werkend,westers
15-24,1,appartement,laag,arbeidsongeschikt,westers
0-14,2,appartement,midden,werkloos,westers
45-64,2,rijtjeshuis,laag,werkend,westers
45-64,2,vrijstaand,midden,werkend,westers
25-44,2,appartement,midden,arbeidsongeschikt,niet-westers
45-64,3+,appartement,hoog,werkend,westers
0-14,1,appartement,midden,arbeidsongeschikt,westers
15-24,3+,appartement,midden,werkend,westers
25-44,1,vrijstaand,hoog,arbeidsongeschikt,niet-westers
0-14,1,vrijstaand,midden,werkend,niet-westers
65+,2,vrijstaand,hoog,arbeidsongeschikt,westers
25-44,2,appartement,midden,werkend,westers
15-24,3+,rijtjeshuis,midden,arbeidsongeschikt,westers
25-44,3+,appartement,laag,werkend,niet-westers
0-14,1,appartement,hoog,werkend,westers
25-44,1,appartement,midden,arbeidsongeschikt,westers
25-44,1,rijtjeshuis,midden,werkend,niet-westers
45-64,1,appartement,midden,arbeidsongeschikt,westers
15-24,3+,vrijstaand,laag,werkend,westers
15-24,1,rijtjeshuis,midden,werkend,westers
15-24,1,appartement,laag,werkend,westers
15-24,3+,vrijstaand,hoog,werkend,westers
25-44,1,vrijstaand,hoog,werkend,westers
15-24,1,appartement,midden,werkloos,westers
45-64,1,vrijstaand,hoog,werkloos,westers
25-44,2,appartement,laag,werkend,westers
65+,1,appartement,midden,werkend,westers
45-64,2,appartement,midden,werkend,westers
25-44,3+,appartement,midden,werkend,westers
0-14,2,rijtjeshuis,midden,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,midden,arbeidsongeschikt,westers
65+,2,vrijstaand,hoog,arbeidsongeschikt,westers
45-64,1,appartement,midden,werkend,niet-westers
25-44,2,appartement,hoog,werkloos,westers
0-14,1,appartement,midden,werkloos,niet-westers
25-44,1,rijtjeshuis,hoog,werkend,westers
45-64,2,rijtjeshuis,midden,werkloos,westers
25-44,2,rijtjeshuis,midden,arbeidsongeschikt,westers
25-44,2,rijtjeshuis,midden,werkend,westers
65+,1,appartement,midden,arbeidsongeschikt,westers
65+,2,appartement,midden,arbeidsongeschikt,westers
25-44,3+,vrijstaand,midden,werkend,westers
25-44,1,vrijstaand,midden,arbeidsongeschikt,westers
25-44,2,rijtjeshuis,laag,arbeidsongeschikt,westers
0-14,2,rijtjeshuis,midden,werkend,westers
25-44,2,rijtjeshuis,hoog,werkend,westers
45-64,1,appartement,midden,werkend,niet-westers
65+,1,appartement,hoog,arbeidsongeschikt,westers
25-44,2,rijtjeshuis,midden,arbeidsongeschikt,westers
0-14,2,appartement,midden,werkend,westers
0-14,2,rijtjeshuis,hoog,werkloos,niet-westers
45-64,1,appartement,midden,arbeidsongeschikt,niet-westers
15-24,1,vrijstaand,laag,arbeidsongeschikt,westers
25-44,3+,appartement,laag,werkend,niet-westers
45-64,2,appartement,hoog,werkend,westers
25-44,2,vrijstaand,hoog,werkend,westers
45-64,1,appartement,midden,werkend,westers
15-24,1,appartement,midden,werkend,westers
25-44,2,rijtjeshuis,midden,werkend,niet-westers
0-14,2,appartement,midden,werkend,westers
45-64,1,rijtjeshuis,laag,werkend,westers
65+,1,vrijstaand,midden,arbeidsongeschikt,westers
25-44,1,appartement,hoog,werkend,westers
45-64,3+,appartement,hoog,werkloos,niet-westers
45-64,2,appartement,midden,werkend,westers
25-44,1,rijtjeshuis,laag,werkend,westers
45-64,2,appartement,hoog,werkend,westers
15-24,3+,appartement,midden,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,laag,arbeidsongeschikt,westers
45-64,1,appartement,hoog,werkend,westers
25-44,3+,rijtjeshuis,midden,werkloos,westers
0-14,3+,appartement,midden,arbeidsongeschikt,westers
65+,1,rijtjeshuis,midden,arbeidsongeschikt,westers
15-24,3+,rijtjeshuis,midden,werkend,westers
25-44,2,vrijstaand,laag,werkend,niet-westers
25-44,1,rijtjeshuis,midden,werkend,westers
65+,1,rijtjeshuis,midden,werkend,westers
45-64,1,vrijstaand,laag,werkend,westers
0-14,1,vrijstaand,midden,arbeidsongeschikt,westers
45-64,1,rijtjeshuis,laag,arbeidsongeschikt,westers
15-24,2,appartement,midden,werkloos,westers
25-44,3+,appartement,laag,werkloos,westers
45-64,3+,appartement,hoog,werkend,westers
0-14,1,rijtjeshuis,midden,werkend,westers
65+,2,appartement,hoog,werkend,westers
25-44,1,rijtjeshuis,hoog,werkend,niet-westers
25-44,3+,rijtjeshuis,midden,werkend,niet-westers
25-44,1,rijtjeshuis,midden,arbeidsongeschikt,westers
15-24,3+,rijtjeshuis,laag,arbeidsongeschikt,niet-westers
45-64,3+,appartement,midden,werkend,westers
15-24,3+,appartement,laag,werkend,westers
0-14,2,rijtjeshuis,midden,werkend,niet-westers
65+,2,rijtjeshuis,hoog,werkend,westers
25-44,1,appartement,midden,werkend,niet-westers
65+,2,rijtjeshuis,midden,werkend,westers
25-44,3+,appartement,midden,werkend,niet-westers
65+,1,vrijstaand,midden,arbeidsongeschikt,niet-westers
65+,3+,rijtjeshuis,laag,werkend,niet-westers
45-64,1,appartement,laag,arbeidsongeschikt,westers
45-64,3+,appartement,midden,arbeidsongeschikt,niet-westers
45-64,3+,appartement,hoog,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,midden,arbeidsongeschikt,westers
45-64,1,appartement,laag,arbeidsongeschikt,westers
25-44,2,rijtjeshuis,laag,arbeidsongeschikt,westers
15-24,3+,appartement,laag,werkend,westers
65+,3+,vrijstaand,laag,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,hoog,werkend,westers
45-64,2,appartement,laag,werkend,westers
45-64,1,appartement,midden,arbeidsongeschikt,westers
65+,1,rijtjeshuis,midden,werkend,westers
25-44,2,rijtjeshuis,midden,werkend,westers
25-44,1,vrijstaand,hoog,werkend,niet-westers
0-14,3+,rijtjeshuis,midden,werkend,niet-westers
25-44,3+,appartement,hoog,werkend,westers
25-44,2,vrijstaand,laag,arbeidsongeschikt,niet-westers
45-64,3+,appartement,midden,werkend,niet-westers
0-14,3+,rijtjeshuis,laag,werkend,niet-westers
25-44,1,appartement,laag,werkend,westers
0-14,3+,rijtjeshuis,hoog,werkend,westers
15-24,1,rijtjeshuis,midden,werkend,westers
15-24,1,rijtjeshuis,midden,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,laag,werkend,westers
25-44,2,rijtjeshuis,hoog,werkloos,westers
0-14,3+,appartement,midden,arbeidsongeschikt,westers
25-44,3+,rijtjeshuis,laag,werkend,westers
15-24,3+,rijtjeshuis,midden,arbeidsongeschikt,westers
45-64,1,rijtjeshuis,hoog,werkloos,westers
0-14,1,vrijstaand,laag,werkend,westers
0-14,1,vrijstaand,laag,werkend,niet-westers
25-44,1,rijtjeshuis,midden,werkend,westers
25-44,2,rijtjeshuis,laag,werkend,westers
45-64,1,rijtjeshuis,laag,werkend,westers
0-14,1,vrijstaand,laag,arbeidsongeschikt,westers
45-64,1,vrijstaand,hoog,werkend,westers
45-64,1,appartement,midden,werkend,niet-westers
45-64,2,vrijstaand,midden,arbeidsongeschikt,westers
25-44,3+,rijtjeshuis,hoog,werkend,westers
25-44,3+,rijtjeshuis,laag,werkend,westers
0-14,3+,appartement,midden,arbeidsongeschikt,westers
25-44,2,appartement,midden,werkend,westers
45-64,2,rijtjeshuis,laag,werkend,westers
25-44,1,appartement,midden,werkend,westers
65+,2,appartement,hoog,arbeidsongeschikt,westers
0-14,1,vrijstaand,hoog,arbeidsongeschikt,westers
45-64,2,rijtjeshuis,midden,werkend,niet-westers
0-14,2,rijtjeshuis,midden,werkend,westers
45-64,2,appartement,midden,werkend,westers
25-44,1,appartement,hoog,werkend,niet-westers
